topic_name,类型
1040阳光工程（传销）,0
无限极,0
安利（Amway）,0
MMM 类骗局,0
WV梦幻之旅,0
婕斯 Jeunesse,0
Nuskin如新,0
MBI/MFCClub骗局,0
我的未来网,0
云数贸,0
Saivian 塞比安,0
盖网,0
淘宝网,0
天津权健足球俱乐部,0
华林酸碱平（狻戬平）,0
北京罗麦,0
思埠,0
安然纳米公司,0
维卡币,0
黑茶,0
云在指尖,0
完美（中国）有限公司,0
锤子科技,0
世界云联,0
boss直聘,0
玫琳凯,0
天狮集团,0
美乐家,0
全能神（宗教）,0
7-Eleven,0
比特币 (Bitcoin),0
康宝莱（Herbalife）,0
国珍,0
泛亚有色金属交易所,0
星火草原,0
松花粉,0
五行币,0
陌陌,0
顺联动力,0
香港亮碧思,0
798,0
中脉科技,0
蚁力神,0
三生中国,0
葆婴,0
圣商大家族,0
尚赫,0
戒色吧（百度贴吧）,0
斗鱼直播,0
直销,1
变相传销,1
微商,1
庞氏骗局,1
自愿连锁业(传销类),1
保健品,1
虚拟货币类骗局,1
金融,1
网络传销,1
保险,1
微信朋友圈,1
投资,1
创业,1
培训,1
微信营销,1
网上兼职,1
淘宝刷单,1
便利店,1
心理辅导,1
面膜,1
商业欺诈,1
返利模式,1
美容健身,1
健身与减脂,1
非法集资,1
金融诈骗,1
网络营销,1
反传销,2
洗脑,2
法律,2
诈骗,2
心理学,2
市场营销,2
邪教,2
教育,2
社会心理学,2
骗子,2
钓鱼（广义的）,2
犯罪,2
违法,2
智商,2
欺骗,2
资本运作,2
道德,2
黑社会,2
企业管理,2
员工激励,2
反智主义,2
心理学现象,2
安化,3
广西,3
天津,3
合肥,3
金华,3
广西北海传销大本营,3
南宁,3
安徽,3
北京,3
李文星,4
罗永浩,4
刘仲敬,4
陈安之,4
李楠（人物）,4
郎咸平,4
微信,5
经济学,5
商业,5
销售,5
经济,5
心理,5
电子商务,5
人际交往,5
药物,5
连锁经营,5
医学,5
教育培训机构,5
化妆品,5
健康,5
幼儿教育,5
互联网金融,5
招聘网站,5
医药,5
打击传销,6
安全,6
家庭关系,6
法律常识,6
医学常识,6
法律咨询,6
警察,7
政府,7
大学生,7
父母,7
老年人,7
家庭,7
程序员,7
